"YEAR","MONTH","DAY","LAKE","STATE_PROV","SPECIES","NO_STOCKED","AGEMONTH","WEIGHT","CONDITION"
1950,5,16,"MI","ON","LAT",49888,NA,NA,"0"
1952,4,29,"SU","WI","LAT",102097,NA,816.78,"0"
1952,9,23,"SU","WI","LAT",145000,NA,870,"0"
1952,5,16,"SU","MI","LAT",65366,NA,588.29,"0"
1953,5,27,"SU","WI","LAT",80137,NA,1442.47,"0"
1953,10,10,"SU","WI","LAT",132980,NA,664.9,"0"
1953,5,16,"SU","MI","LAT",69439,NA,902.71,"0"
1953,5,16,"SU","MI","LAT",139073,NA,695.37,"0"
1953,5,16,"SU","ON","LAT",49915,NA,NA,"0"
1954,6,8,"SU","WI","LAT",102016,NA,612.1,"0"
1954,10,15,"SU","WI","LAT",142323,NA,1280.91,"0"
1954,5,16,"SU","MI","LAT",121296,NA,970.37,"0"
1954,5,16,"SU","MI","LAT",134318,NA,1208.86,"0"
1955,5,16,"SU","WI","LAT",102794,NA,2569.85,"0"
1955,5,16,"SU","MI","LAT",60744,NA,1214.88,"0"
1956,5,16,"SU","WI","LAT",200731,NA,5018.28,"0"
1958,4,21,"SU","ON","LAT",5000,24,NA,"0"
1958,5,16,"SU","WI","LAT",183964,NA,3679.28,"0"
1958,5,16,"SU","MI","LAT",80020,NA,960.24,"0"
1958,5,16,"SU","ON","LAT",250000,NA,500,"0"
1958,5,16,"SU","MI","LAT",60033,NA,780.43,"0"
1958,5,16,"SU","MI","LAT",119975,NA,1559.68,"0"
1958,5,16,"SU","ON","LAT",287870,NA,3742.31,"0"
1958,5,16,"SU","MI","LAT",24250,NA,436.5,"0"
1958,5,16,"SU","MI","LAT",13870,NA,485.45,"0"
1959,5,16,"SU","WI","LAT",75524,NA,1586,"0"
1959,5,16,"SU","WI","LAT",75536,16,1586.26,"0"
1959,5,16,"SU","MI","LAT",5573,26,356.67,"0"
1959,5,16,"SU","MI","LAT",21580,26,1381.12,"0"
1959,5,16,"SU","ON","LAT",216000,15,864,"0"
1959,5,16,"SU","MI","LAT",2452,29,223.13,"0"
1959,5,16,"SU","MI","LAT",2888,40,727.78,"0"
1959,5,16,"SU","MI","LAT",10972,NA,NA,"0"
1959,5,16,"SU","ON","LAT",256590,NA,3592.26,"0"
1960,7,15,"SU","ON","LAT",50250,3,100.5,"0"
1960,11,13,"MI","MI","LAT",24543,10,196.34,"0"
1960,5,16,"MI","MI","LAT",88235,16,2382.35,"0"
1960,5,16,"SU","ON","LAT",65000,NA,NA,"0"
1960,5,16,"SU","WI","LAT",49400,8,345.8,"0"
1960,5,16,"SU","WI","LAT",161350,16,3711.05,"0"
1960,5,16,"SU","MI","LAT",128778,15,1802.89,"0"
1960,5,16,"SU","MI","LAT",131702,NA,1843.83,"0"
1960,5,16,"SU","MI","LAT",132628,16,3050.44,"0"
1960,5,16,"SU","ON","LAT",23990,14,455.81,"0"
1960,5,16,"SU","ON","LAT",32190,14,611.61,"0"
1960,5,16,"SU","ON","LAT",37905,14,720.2,"0"
1960,5,16,"SU","ON","LAT",38840,14,737.96,"0"
1960,5,16,"SU","ON","LAT",65000,NA,NA,"0"
1960,5,16,"SU","ON","LAT",23990,14,455.81,"0"
1960,5,16,"SU","ON","LAT",32190,14,611.61,"0"
1960,5,16,"SU","ON","LAT",37905,14,720.2,"0"
1960,5,16,"SU","ON","LAT",38840,14,737.96,"0"
1961,7,18,"SU","ON","LAT",60200,3,120.4,"0"
1961,5,16,"MI","MI","LAT",94823,15,1706.81,"0"
1961,5,16,"SU","WI","LAT",31885,NA,542.05,"0"
1961,5,16,"SU","WI","LAT",77002,NA,1309.03,"0"
1961,5,16,"SU","WI","LAT",96960,16,3005.76,"0"
1961,5,16,"SU","WI","LAT",108175,16,NA,"0"
1961,5,16,"SU","MI","LAT",171730,16,3091.14,"0"
1961,5,16,"SU","ON","LAT",107500,15,537.5,"0"
1961,5,16,"SU","MI","LAT",59700,16,1492.5,"0"
1961,5,16,"SU","ON","LAT",107500,15,537.5,"0"
1961,5,16,"SU","MI","LAT",48700,17,876.6,"0"
1961,5,16,"SU","ON","LAT",22250,NA,378.25,"0"
1961,5,16,"SU","ON","LAT",28400,NA,482.8,"0"
1961,5,16,"SU","ON","LAT",58965,NA,1002.41,"0"
1961,5,16,"SU","ON","LAT",22250,NA,378.25,"0"
1961,5,16,"SU","ON","LAT",28400,NA,482.8,"0"
1961,5,16,"SU","ON","LAT",58965,NA,1002.41,"0"
1961,5,16,"SU","MI","LAT",112500,17,3037.5,"0"
1962,9,27,"SU","MN","LAT",76559,8,405.76,"0"
1962,5,16,"MI","WI","LAT",72936,16,1750.46,"0"
1962,5,16,"SU","WI","LAT",120800,16,2416,"0"
1962,5,16,"SU","WI","LAT",115870,20,5909.37,"0"
1962,5,16,"SU","WI","LAT",101722,17,2644.77,"0"
1962,5,16,"SU","WI","LAT",154776,17,4024.18,"0"
1962,5,16,"SU","MI","LAT",322789,16,5487.41,"0"
1962,5,16,"SU","ON","LAT",6700,15,33.5,"0"
1962,5,16,"SU","ON","LAT",118000,15,590,"0"
1962,5,16,"SU","ON","LAT",6700,15,33.5,"0"
1962,5,16,"SU","ON","LAT",118000,15,590,"0"
1962,5,16,"SU","MI","LAT",86907,16,1564.33,"0"
1962,5,16,"SU","ON","LAT",10645,13,159.68,"0"
1962,5,16,"SU","ON","LAT",22290,13,334.35,"0"
1962,5,16,"SU","ON","LAT",29640,13,444.6,"0"
1962,5,16,"SU","ON","LAT",66512,13,997.68,"0"
1962,5,16,"SU","MI","LAT",295465,16,5318.37,"0"
1962,5,16,"SU","ON","LAT",10645,13,159.68,"0"
1962,5,16,"SU","ON","LAT",22290,13,334.35,"0"
1962,5,16,"SU","ON","LAT",29640,13,444.6,"0"
1962,5,16,"SU","ON","LAT",66512,13,997.68,"0"
1962,5,16,"SU","MI","LAT",70000,NA,560,"0"
1963,5,16,"SU","ON","LAT",40000,NA,NA,"0"
1963,9,16,"SU","MN","LAT",85236,8,238.66,"0"
1963,9,25,"SU","MN","LAT",89584,8,268.75,"0"
1963,5,16,"MI","WI","RBT",9200,NA,NA,"0"
1963,5,16,"ON","ON","LAT",74700,NA,NA,"0"
1963,5,16,"ON","ON","LAT",106767,15,2135.34,"0"
1963,5,16,"SU","WI","LAT",311469,15,7475.26,"0"
1963,5,16,"SU","MI","LAT",83000,15,498,"0"
1963,5,16,"SU","MI","LAT",266745,19,8269.1,"0"
1963,5,16,"SU","MI","LAT",273430,16,4374.88,"0"
1963,5,16,"SU","ON","LAT",13934,14,195.08,"0"
1963,5,16,"SU","ON","LAT",30355,14,424.97,"0"
1963,5,16,"SU","ON","LAT",79065,14,1106.91,"0"
1963,5,16,"SU","MI","LAT",562580,15,9563.86,"0"
1963,5,16,"SU","ON","LAT",13934,14,195.08,"0"
1963,5,16,"SU","ON","LAT",30365,14,425.11,"0"
1963,5,16,"SU","ON","LAT",79065,14,1106.91,"0"
1963,5,16,"SU","MI","LAT",161815,9,647.26,"0"
1963,5,16,"SU","ON","LAT",95000,16,475,"0"
1963,5,16,"SU","ON","LAT",95000,16,475,"0"
1964,4,28,"SU","MN","LAT",90000,15,576,"0"
1964,5,5,"SU","MN","LAT",92000,15,588.8,"0"
1964,5,22,"SU","MN","LAT",20000,1,NA,"0"
1964,6,18,"SU","MI","LAT",194630,16,3308.71,"0"
1964,9,28,"SU","MN","LAT",15412,8,204.98,"0"
1964,10,1,"SU","MN","LAT",22434,8,296.13,"0"
1964,5,16,"MI","WI","RBT",1500,NA,NA,"0"
1964,5,16,"MI","WI","RBT",13500,NA,NA,"0"
1964,5,16,"ON","ON","LAT",36739,16,440.87,"0"
1964,5,16,"ON","ON","LAT",74619,16,1865.48,"0"
1964,5,16,"SU","WI","LAT",86613,13,1818.87,"0"
1964,5,16,"SU","WI","LAT",88982,13,1868.62,"0"
1964,5,16,"SU","WI","LAT",117579,13,2469.16,"0"
1964,5,16,"SU","WI","LAT",159300,13,3345.3,"0"
1964,5,16,"SU","WI","LAT",290961,13,6110.18,"0"
1964,5,16,"SU","MI","LAT",122400,16,1836,"0"
1964,5,16,"SU","MI","LAT",97700,16,1465.5,"0"
1964,5,16,"SU","MI","LAT",108050,16,1620.75,"0"
1964,5,16,"SU","MI","LAT",141390,16,2120.85,"0"
1964,5,16,"SU","MI","LAT",61600,16,924,"0"
1964,5,16,"SU","MI","LAT",155850,16,2337.75,"0"
1964,5,16,"SU","MI","LAT",52900,16,793.5,"0"
1964,5,16,"SU","ON","LAT",25000,15,125,"0"
1964,5,16,"SU","ON","LAT",43500,15,217.5,"0"
1964,5,16,"SU","ON","LAT",56500,15,282.5,"0"
1964,5,16,"SU","MI","LAT",98780,15,1086.58,"0"
1964,5,16,"SU","MI","LAT",99130,15,1090.43,"0"
1964,5,16,"SU","MI","LAT",63340,16,950.1,"0"
1964,5,16,"SU","ON","LAT",25755,15,257.55,"0"
1964,5,16,"SU","ON","LAT",38235,15,382.35,"0"
